ID,施設名,施設名フリガナ,施設種別,区・町名,住所,緯度,経度
1,東山配水場,ヒガシヤマハイスイジョウ,常設給水栓,名古屋市千種区,田代町四観音道西,35.17342437,136.9550014
2,東山公園,ヒガシヤマコウエン,仮設給水栓,名古屋市千種区,田代町瓶杁,35.16034888,136.9794238
3,千種公園,チクサコウエン,仮設給水栓,名古屋市千種区,若水一丁目,35.1760599,136.9429165
4,吹上公園,フキアゲコウエン,仮設給水栓,名古屋市千種区,吹上二丁目,35.15891612,136.9324817
5,平和公園応急給水センター,ヘイワコウエンオウキュウキュウスイセンター,常設給水栓,名古屋市千種区,平和公園一丁目,35.17860905,136.9767229
6,鍋屋上野浄水場,ナベヤウエノジョウスイジョウ,常設給水栓,名古屋市千種区,宮の腰町,35.18390559,136.9546402
7,星ヶ丘小学校,ホシガオカショウガッコウ,仮設給水栓,名古屋市千種区,星ヶ丘一丁目,35.1632175,136.9885874
8,千代田橋緑地,チヨダバシリョクチ,仮設給水栓,名古屋市千種区,千代田橋一丁目,35.18932484,136.9670359
9,自由ヶ丘（耐震性貯水槽）,ジユウガオカ,仮設給水栓,名古屋市千種区,自由ヶ丘一丁目,35.17438983,136.9631552
10,茶屋ヶ坂公園,チャヤガサカコウエン,仮設給水栓,名古屋市千種区,揚羽町１丁目,35.18244647,136.9641877
11,見付小学校,ミツケショウガッコウ,地下式給水栓,名古屋市千種区,見附町,35.16054282,136.9591053
12,千石小学校,センゴクショウガッコウ,地下式給水栓,名古屋市千種区,千種一丁目,35.16626454,136.9278147
13,高見小学校,タカミショウガッコウ,地下式給水栓,名古屋市千種区,高見一丁目,35.17227657,136.9482432
14,春岡小学校,ハルオカショウガッコウ,地下式給水栓,名古屋市千種区,春岡二丁目,35.16436943,136.9427735
15,栄公園,サカエコウエン,仮設給水栓,名古屋市東区,東桜一丁目,35.17103267,136.9130293
16,建中寺公園,ケンチュウジコウエン,仮設給水栓,名古屋市東区,筒井一丁目,35.17826598,136.9267169
18,愛教大附属小中学校,アイキョウダイフゾクショウチュウガッコウ,仮設給水栓,名古屋市東区,大幸南一丁目,35.18774356,136.9546045
19,木ヶ崎公園,キガサキコウエン,仮設給水栓,名古屋市東区,矢田三丁目,35.19497697,136.9459564
20,徳川園,トクガワエン,仮設給水栓,名古屋市東区,徳川町,35.185501,136.93307
21,旭丘小学校,アサヒガオカショウガッコウ,仮設給水栓,名古屋市東区,徳川町,35.18480992,136.9294734
22,山吹小学校,ヤマブキショウガッコウ,地下式給水栓,名古屋市東区,橦木町,35.17986445,136.9152243
23,矢田小学校,ヤダショウガッコウ,地下式給水栓,名古屋市東区,矢田南四丁目,35.19024146,136.9459032
